place,user_name,rating,comment,date
Morgaon Mayureshwar,Ayaan,5,A bit crowded on weekends but worth it.,2025-09-19 10:45:00
Lenyadri Girijatmaj,Shaurya,4,Amazing place to visit with family.,2025-08-21 17:46:00
Ozar Vighnahar,Shaurya,4,Beautiful architecture and history.,2025-12-22 15:24:00
BAPS Shri Swaminarayan Mandir,Zara,5,Food nearby is excellent.,2025-09-14 18:15:00
Ekvira Aai Temple,Aarav,4,A bit crowded on weekends but worth it.,2025-07-06 11:49:00
Prati Shirdi Shirgaon,Navya,5,Good place for a short weekend trip.,2025-10-01 18:13:00
Dehu Gatha Mandir,Zara,4,Amazing place to visit with family.,2025-06-07 11:41:00
Alandi,Navya,5,Good place for a short weekend trip.,2025-12-14 10:25:00
Ramdara Temple,Shaurya,4,A bit crowded on weekends but worth it.,2025-06-03 16:45:00
Bopdev Ghat,Sai,5,Good place for a short weekend trip.,2025-12-06 16:38:00
Dive Ghat,Kavya,4,Good place for a short weekend trip.,2025-09-06 12:45:00
Mastani Mahal,Vihaan,5,Great spot for photography.,2025-08-23 12:50:00
