place,best_time,avoid_time,peak_season,average_crowd,nearby_attractions
Seasons Mall,Afternoon (1-4 PM),Weekends,Jul-Sep,Low,"Local Markets, Scenic Viewpoints"
Westend Mall,Afternoon (1-4 PM),Weekends,Nov-Feb,Medium,"Local Markets, Scenic Viewpoints"
Kalyani Nagar,Afternoon (2-4 PM),Evening (5-8 PM),Oct-Mar,High,"Local Markets, Scenic Viewpoints"
Mandai Market,Morning (11 AM - 1 PM),Weekends,All Year,High,"Local Markets, Scenic Viewpoints"
Imagica Theme Park,Morning (8-11 AM),Afternoon (1-4 PM),Nov-Feb,Very High,"Local Markets, Scenic Viewpoints"
Della Adventure Park,Morning (8-11 AM),Afternoon (1-4 PM),Nov-Feb,Low,"Local Markets, Scenic Viewpoints"
Fergusson College,Early Afternoon (1-3 PM),Weekends,Nov-Feb,High,"Local Markets, Scenic Viewpoints"
College of Engineering Pune,Early Afternoon (1-3 PM),Weekends,Jul-Sep,High,"Local Markets, Scenic Viewpoints"
Pune University,Early Afternoon (1-3 PM),Weekends,All Year,Low,"Local Markets, Scenic Viewpoints"
National Film Archive,Afternoon (2-4 PM),Weekends,All Year,High,"Local Markets, Scenic Viewpoints"
Kasba Ganpati Temple,Morning (9-11 AM),Weekends,Jul-Sep,Medium,"Local Markets, Scenic Viewpoints"
Kesari Wada,Morning (9-11 AM),Weekends,All Year,Very High,"Local Markets, Scenic Viewpoints"
Deccan Gymkhana,Early Afternoon (1-3 PM),Afternoon (3-5 PM),All Year,Low,"Local Markets, Scenic Viewpoints"
Chaturshringi Wildlife,Morning (8-10 AM),Evening (5-8 PM),Nov-Feb,High,"Local Markets, Scenic Viewpoints"
Pashan Tekdi,Early Morning (6-9 AM),Afternoon (1-4 PM),Nov-Feb,Very High,"Local Markets, Scenic Viewpoints"
Pune Cantonment,Early Afternoon (1-3 PM),Afternoon (3-5 PM),Jul-Sep,High,"Local Markets, Scenic Viewpoints"
Wet N Joy Water Park,Morning (8-11 AM),Afternoon (1-4 PM),All Year,Medium,"Local Markets, Scenic Viewpoints"
Xthrill Water Park,Morning (8-11 AM),Afternoon (1-4 PM),Jul-Sep,Very High,"Local Markets, Scenic Viewpoints"
Appu Ghar Pune,Afternoon (2-4 PM),Weekends,Nov-Feb,Medium,"Local Markets, Scenic Viewpoints"
Panshet Dam,Morning (8-10 AM),Afternoon (1-4 PM),Nov-Feb,Low,"Local Markets, Scenic Viewpoints"
Varasgaon Dam,Morning (8-10 AM),Afternoon (1-4 PM),Oct-Mar,Low,"Local Markets, Scenic Viewpoints"
Temghar Dam,Morning (8-10 AM),Afternoon (1-4 PM),All Year,High,"Local Markets, Scenic Viewpoints"
Neelkantheshwar,Afternoon (1-4 PM),Evening (5-8 PM),Oct-Mar,Medium,"Local Markets, Scenic Viewpoints"
Torna Fort,Morning (8-11 AM),Evening (Late),All Year,Very High,"Local Markets, Scenic Viewpoints"
Rajgad Fort,Early Morning (6-9 AM),Evening (Late),Oct-Mar,Medium,"Local Markets, Scenic Viewpoints"
Tikona Fort,Morning (8-11 AM),Afternoon (1-4 PM),All Year,Very High,"Local Markets, Scenic Viewpoints"
Lohagad Fort,Early Morning (6-9 AM),Evening (Late),Jul-Sep,High,"Local Markets, Scenic Viewpoints"
Visapur Fort,Morning (8-11 AM),Afternoon (1-4 PM),Jul-Sep,Very High,"Local Markets, Scenic Viewpoints"
Korigad Fort,Early Morning (6-9 AM),Evening (Late),Jul-Sep,Medium,"Local Markets, Scenic Viewpoints"
Tung Fort,Early Morning (6-9 AM),Evening (Late),All Year,Medium,"Local Markets, Scenic Viewpoints"
Purandar Fort,Early Morning (6-9 AM),Afternoon (1-4 PM),All Year,Medium,"Local Markets, Scenic Viewpoints"
Rohida Fort,Morning (8-11 AM),Afternoon (1-4 PM),Oct-Mar,Very High,"Local Markets, Scenic Viewpoints"
Bhuleshwar Temple,Afternoon (1-4 PM),Early Morning (6-9 AM),Nov-Feb,Very High,"Local Markets, Scenic Viewpoints"
Ranjangaon Mahaganpati,Afternoon (1-4 PM),Early Morning (6-9 AM),Nov-Feb,High,"Local Markets, Scenic Viewpoints"
Theur Chintamani,Afternoon (1-4 PM),Early Morning (6-9 AM),Nov-Feb,Medium,"Local Markets, Scenic Viewpoints"
Morgaon Mayureshwar,Afternoon (1-4 PM),Early Morning (6-9 AM),Oct-Mar,Medium,"Local Markets, Scenic Viewpoints"
Lenyadri Girijatmaj,Afternoon (1-4 PM),Evening (5-8 PM),Nov-Feb,Very High,"Local Markets, Scenic Viewpoints"
Ozar Vighnahar,Afternoon (1-4 PM),Early Morning (6-9 AM),Jul-Sep,Very High,"Local Markets, Scenic Viewpoints"
BAPS Shri Swaminarayan Mandir,Afternoon (1-4 PM),Early Morning (6-9 AM),Jul-Sep,Medium,"Local Markets, Scenic Viewpoints"
Ekvira Aai Temple,Morning (9-11 AM),Early Morning (6-9 AM),Oct-Mar,Very High,"Local Markets, Scenic Viewpoints"
Prati Shirdi Shirgaon,Morning (9-11 AM),Early Morning (6-9 AM),Nov-Feb,High,"Local Markets, Scenic Viewpoints"
Dehu Gatha Mandir,Afternoon (1-4 PM),Early Morning (6-9 AM),All Year,Medium,"Local Markets, Scenic Viewpoints"
Alandi,Morning (9-11 AM),Early Morning (6-9 AM),Nov-Feb,High,"Local Markets, Scenic Viewpoints"
Ramdara Temple,Afternoon (1-4 PM),Evening (5-8 PM),Oct-Mar,Medium,"Local Markets, Scenic Viewpoints"
Bopdev Ghat,Morning (8-10 AM),Afternoon (1-4 PM),Nov-Feb,Low,"Local Markets, Scenic Viewpoints"
Dive Ghat,Morning (8-10 AM),Evening (5-8 PM),Nov-Feb,Very High,"Local Markets, Scenic Viewpoints"
Mastani Mahal,Early Afternoon (1-3 PM),Weekends,Nov-Feb,Medium,"Local Markets, Scenic Viewpoints"
